2021-11-11 04:51:51.1720||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-11 04:51:57.1699|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-11 04:52:00.6976||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-11 04:52:00.7036||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-11 04:52:00.7223||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-paging\VuonDau.WebApi |url: |action: 
2021-11-11 06:55:20.3878||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-11 06:55:24.1408|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-11 06:55:25.4251||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-11 06:55:25.4251||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-11 06:55:25.4350||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-paging\VuonDau.WebApi |url: |action: 
2021-11-11 07:15:34.4820||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-11 07:15:38.5608|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-11 07:15:39.8634||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-11-11 07:15:39.8634||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-11-11 07:15:39.8714||INFO|Microsoft.Hosting.Lifetime|Content root path: D:\Education\Ky7\vuondauBE-paging\VuonDau.WebApi |url: |action: 
2021-11-11 07:30:08.0917||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-11-11 07:30:16.2420|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-11-11 07:30:17.9706||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
